ILN	ELN	Name der Einrichtung	ISIL
0022	0018/0303	Universität Hamburg, Asien-Afrika-Institut, Bibliothek	DE-18-303
0022	0018/0304	Universität Hamburg, Zentralbibliothek Recht 	DE-18-304
0022	0018/0305	Universität Hamburg, Fachbereichsbibliothek Biologie, Standort Klein Flottbek 	DE-18-305
0022	0018/0306	Universität Hamburg, Bibliotheks- und Informationsservice (BIS) für Erdsystemforschung 	DE-18-306
0022	0018/0307	Universität Hamburg, Martha-Muchow-Bibliothek, Fachbibliothek für Erziehungswissenschaft, Psychologie und Bewegungswissenschaft 	DE-18-307
0022	0018/0308	Universität Hamburg, Fakultät Geisteswissenschaften, Fachbereichsbibliothek Kulturwissenschaften 	DE-18-308
0022	0018/0309	Universität Hamburg, Zentralbibliothek Philosophie, Geschichte und Klassische Philologie 	DE-18-309
0022	0018/0310	Universität Hamburg,Testbibliothek der Fakultät Erziehungswissenschaft, Psychologie und Bewegungswissenschaft	DE-18-310
0022	0018/0311	Universität Hamburg, Konfuzius-Institut e.V., Bibliothek 	DE-18-311
0022	0018/0312	Universität Hamburg, Zentrale Stelle Normdaten 	DE-18-312
0022	0018/0313	Nordost-Institut an der Universität Hamburg (IKGN e.V.), Bibliothek	DE-18-313 
0022	0018/0314	Universität Hamburg, Institut f. Bodenkunde HH	DE-18-314
0023	0830	TUB Hamburg-Harburg	DE-830
0024	0008	UB Kiel	DE-8
0024	0008/0002	UB Kiel, Fachbibliothek Theologie	DE-8-2
0024	0008/0003	UB Kiel, Fachbibliothek am Juristischen Seminar	DE-8-3
0024	0008/0004	Fachbibliothek am Walther-Schücking-Institut für Internationales Recht 	DE-8-4
0024	0008/0006	UB Kiel, Fachbibliothek am Institut für Osteuropäisches Recht 	DE-8-6
0024	0008/0007	UB Kiel, Fachbibliothek am Institut für Wirtschafts- und Steuerrecht 	DE-8-7
0024	0008/0009	UB Kiel, Fachbibliothek für Wirtschaftswissenschaften	DE-8-9 
0024	0008/0010	UB Kiel, Fachbibliothek Sozialwissenschaften 	DE-8-10
0024	0008/0012	UB Kiel Anatomie /Biochemie	
0024	0008/0015	UB Kiel , Fachbibliothek an der Medizin- und Pharmaziehistorischen Sammlung Kiel 	DE-8-15
0024	0008/0034	UB Kiel, Rechtsmedizin	
0024	0008/0037	UB Kiel, Fachbibliothek am Philosophischen Seminar 	DE-8-37
0024	0008/0038	UB Kiel, Fachbibliothek für Pädagogik 	DE-8-38
0024	0008/0039	UB Kiel, Fachbibliothek am Institut für Psychologie 	DE-8-39 
0024	0008/0040	UB Kiel, Fachbibliothek Geschichte	DE-8-40 
0024	0008/0042	UB Kiel, Archäologisches Institut	
0024	0008/0044	UB Kiel, Fachbibliothek am Kunsthistorischen Institut 	DE-8-44 
0024	0008/0045	UB Kiel, Fachbibliothek an der Kunsthalle	DE-8-45
0024	0008/0046	UB Kiel, Fachbibliothek am Musikwissenschaftlichen Institut 	DE-8-46
0024	0008/0047	UB Kiel, Fachbibliothek am Seminar für Europäische Ethnologie/Volkskunde 	DE-8-47
0024	0008/0048	UB Kiel, Fachbibliothek am Institut für Skandinavistik, Frisistik und Allg. Sprachwissenschaft, Bereich Allg.Sprachwissenschaft 	DE-8-48
0024	0008/0049	UB Kiel, Phonetik	
0024	0008/0050	UB Kiel, Fachbibliothek am Institut für Klassische Altertumskunde	DE-8-50 
0024	0008/0052	UB Kiel, Fachbibliothek Germanistik (Sprache / Literatur / Medien) 	DE-8-52
0024	0008/0054	UB Kiel, Fachbibliothek am Institut für Skandinavistik, Frisistik und Allg. Sprachwissenschaft, Bereich Skandinavistik 	DE-8-54 
0024	0008/0055	UB Kiel, Fachbibliothek am Englischen Seminar 	DE-8-55
0024	0008/0056	UB Kiel, Fachbibliothek am Romanischen Seminar 	DE-8-56
0024	0008/0057	UB Kiel, Fachbibliothek am Institut für Slavistik 	DE-8-57
0024	0008/0058	UB Kiel, Fachbibliothek am Institut für Sport und Sportwissenschaften	DE-8-58
0024	0008/0059	UB Kiel, Fachbibliothek am Institut für Ur- und Frühgeschichte 	DE-8-59 
0024	0008/0060	UB Kiel, Fachbibliothek Mathematik/Informatik/Rechenzentrum (Bereich Mathematik) 	DE-8-60 
0024	0008/0062	UB Kiel, Fachbibliothek Physikzentrum 	DE-8-62
0024	0008/0064	UB Kiel, Fachbibliothek Chemie (Bereich Anorg. und Org. Chemie)	DE-8-64
0024	0008/0066	UB Kiel, Fachbibliothek am Pharmazeutischen Institut, Abteilung Pharmazeutische Chemie und Pharmazeutische Technologie 	DE-8-66
0024	0008/0067	UB Kiel, Pharmazeutische Biologie	DE-8-67
0024	0008/0068	UB Kiel, Biologie Zentrum	
0024	0008/0069	UB Kiel, Fachbibliothek am Institut für Geowissenschaften 	DE-8-69
0024	0008/0070	UB Kiel, Fachbibliothek am Geographischen Institut 	DE-8-70
0024	0008/0072	UB Kiel, Fachbibliothek am Institut für Pflanzenbau und –züchtung 	DE-8-72
0024	0008/0073	UB Kiel, Fachbibliothek am Institut für Phytopathologie	DE-8-73
0024	0008/0074	UB Kiel, Fachbibliothek am Institut für Tierernährung, Stoffwechselphysiologie 	DE-8-74
0024	0008/0075	UB Kiel, Fachbibliothek am Institut für Tierzucht und Tierhaltung 	DE-8-75
0024	0008/0076	UB Kiel, Landwirtschaftliche Verfahrens Technik	DE-8-76
0024	0008/0079	UB Kiel, Humanernährung	DE-8-79
0024	0008/0081	UB Kiel, Fachbibliothek Ökologie und Wasserwirtschaft 	DE-8-81
0024	0008/0100	Landesarchiv Schleswig-Holstein, Bibliothek	DE-452 
0024	0008/0102	Universität Kiel, Bibliothek des Lorenz-von-Stein-Instituts für Verwaltungswissenschaften 	DE-8-102
0024	0008/0391	UB Kiel Psychologische Pädagogig	
0024	0008/0512	UB Kiel, Fachbibliothek am Seminar für Orientalistik 	DE-8-51b
0024	0008/0541	UB Kiel, Fachbibliothek am Institut für Skandinavistik, Frisistik und Allg. Sprachwissenschaft, Bereich Frisistik	DE-8-541
0024	0008/0601	UB Kiel, Fachbibliothek Mathematik/Informatik/Rechenzentrum (Bereich Informatik) 	DE-8-601
0024	0008/0683	UB Kiel Zoologisches Museum	
0024	0008/0710	UB Kiel, Fachbibliothek am Institut für Internationales Privat- und Verfahrensrecht 	DE-8-710
0026	0206	ZBW - Leibniz-Informationszentrum Wirtschaft, Standort Kiel 	DE-206
0026	0206/0001	ZBW - Leibniz-Informationszentrum Wirtschaft, Standort Hamburg	DE-206H
0030	0104	UB Clausthal	DE-104
0030	0104/0001	UB Clausthal Bibliographie	--
0031	0027	Thüringer Universitäts- und Landesbibliothek (ThULB) Jena	DE-27
0032	3400	UB Ilmenau	DE-Ilm1
0033	3550	Hamburg Bibliographie	--
0034	3551	HS für Angewandte Wissenschaften (HAW) Hamburg	--
0034	3551/0001	Hafen City Universität, Hamburg	DE-1373
0034	3551/0002	HS für Angewandte Wissenschaften Hamburg, Hochschulinformations- und Bibliotheksservice (HIBS), Fachbibliothek Technik, Wirtschaft, Informatik (HAW) Hamburg	DE-18-302
0034	3551/0004	HAW Hamburg, Hochschulinformations- und Bibliotheksservice (HIBS), Fachbibliothek Life Sciences 	DE-18-284
